Name,Gender
Hanuman,1
Anirudh,1
Sahil,1
Reet,1
Riya,0
Dinesh,1
Mukesh,1
Nilesha,1
Gulabsing,1
Leena,0
Vertaj,1
Siddhesh,1
Riddhi,0
Siddhi,0
Ruchita,0
Satyam,1
Pragnesh,1
Jignesh,1
Gulam,1
Shiv,1
Deep,1
Shivam,1
Parth,1
Dharam,1
Saurbh,1
Pankaj,1
Ritesh,1
Sumit,1
Vivek,1
Tejas,1
Sarthak,1
Preeti,0
Himmat,1
Hinal,0
Atharva,1
Sarvesh,1
Pratik,1
Tanmay,1
Sanjiv,1
Poonam,0
Soumya,0
Rushikesh,1
Nishit,1
Priya,0
shashank,1
Tooba,0
Ruby,0
Purvi,0
Sheetal,0
Shraddhesh,1
Kalyani,0
Heet,1
Heer,0
Anushri,0
Eram,0
Sanket,1
Sudhir,1
Aakansha,0
Jash,1
Sayandip,1
Faikha,0
Jitesh,1
Anshul,1
Sumedh,1
Satyarth,1
Deepa,0
Harsha,0
Harsh,1
Krishma,0
Savita,0
Rajan,1
Noopur,0
Ayush,1
Kriti,0
Nikita,0
Mushk,0
Rakhi,0
Mamta,0
Adarsh,1
Ishan,1
Janki,0
Nitesh,1
Sohini,0
Rinku,0
Doly,0
Pavan,1
Utsav,1
Madhura,0
Swati,0
Viren,1
Amita,1
Reena,0
Nimesh,1
Pallavi,0
Mayuresh,1
Dimpal,0
Alisha,0
Zaid,1
Misbah,0
Jinal,0
Nilam,0
Ruchi,0
Raj,1
Usha,0
Omkar,1
Lalita,0
Seema,0
Mahesh,1
Roshini,0
Geeta,0
Narendra,1
Shenaz,1
Kaustubh,1
Anuja,0
Kiran,0
Rajni,0
Arnav,1
Palak,0
Kamla,0
Noor,0
Saroj,0
Dipika,0
Shivam,1
Ramnik,1
Deepak,1
Manoj,1
Anshuman,1
Shailesh,1
Namira,0
Rajesh,1
Juhi,0
Virti,0
Raavi,0
Ravi,1
Manish,1
Sunita,0
Yashvi,0
Div,1
Taral,1
Sarfarz,1
Ali,1
Rahul,1
Yogita,0
Rajendra,1
devki,0
Durga,0
Sonya,0
Rubina,0
Sangeeta,0
Nisha,0
Nishant,1
Sita,1
Mahendra,1
Sachin,1
Ravindra,1
Ambati,1
Mohin,1
Virat,1
Ruturaj,1
Bhawati,0
Prasad,1
Pinkesh,1
Nitin,1
Heet,1
Zeel,1
Rakesh,1
Akshat,1
Akshita,0
Akshta,0
Ronak,1
Rinkesh,1
Vansh,1
Devansh,1
Devanshi,0
Pritesh,1
Ramesh,1
Anubhav,1
Shlok,1
Shloka,0
Amaira,0
Nvya,0
Vinod,1
Dugu,0
Tarjan,1
Delsi,0
Daisy,0
Grace,0
Charmi,0
Vipul,1
Veer,1
Vipin,1
Nayan,1
Jatin,1
Shadab,1
Kabir,1
Farhan,1
Sabir,1
Rishi,1
Virendra,1
Disha,0
Saifali,0
Darshil,1
Rutava,0
Tripti,0
Trupti,0
Trupal,1
Sheela,0
Sakshi,0
Kalpit,1
Ashmin,0
Gulshan,1
Parveen,1
Monark,1
Jitendra,1
Afifa,0
Akhsita,0
Urja,0
Bhumi,0
Simmy,0
Chahat,0
Dhanvarsha,0
Sandhya,0
Dhruvesh,1
Gurdeep,1
Ranju,0
Ekta,0
Payal,0
Foram,0
Sonya,0
Vimla,0
Suman,0
Dipal,0
Sitaram,1
Pinki,0
Het,1
Pinku,1
Honey,0
Jasbi,1
Madhvi,0
Ruksana,0
Om,1
Dixit,1
Dixita,0
Robin,1
Devki,0
Priyanshi,0
Aditya,1
Rashmi,0
Manan,1
Shahid,1
Vandna,0
Farida,0
Suhasini,0
Asha,0
Sharmila,0
Hina,0
Gutam,1
Jainam,1
Mox,1
Durgesh,1
Brijesh,1
Sprash,1
Punit,1
Gurmit,1
Gurpreet,1
Siddhu,1
Dharam,1
Kejrival,1
Pritam,1
Devinder,1
Raman,1
Gajendra,1
Atullah,1
Hemlata,0
Rihana,0
Deepa,0
Dipali,0
Sabnam,0
Anjum,0
Utkarsh,1
Mansi,0
Baani,0
Vaani,0
Bansi,0
Chintan,1
Trusha,0
Panth,1
Avnish,1
Jensi,0
Rensi,0
Rakshit,1
Nensi,0
Mansi,0
Shubham,1
Henil,1
Kirti,0
Vatsal,1
Shrut,0
Dhruvin,1
Namrata,0
Darshika,0
Krunal,1
Shreya,0
Darshil,1
Aarsh,1
Abhik,1
Romi,0
Prutha,0
Lipsa,0
Dishank,0
Vihana,0
Nemil,1
Krupali,0
Dipen,1
Preksha,0
Naishar,1
Shrey,1
Jal,0
Samir,1
keval,1
Ravi,1
Rakshita,0
Shobha,0
Shweta,0
Riya,0
Nia,0
Shini,0
Dhara,0
Vrunda,0
Yesha,0
trish,0
Satish,1
Sejal,0
Gargi,0
Fenil,1
Mital,0
Jalpa,0
Hiren,1
Nirali,0
Apruva,1
Sonu,1
Purbi,0
Shamil,1
Amisha,0
Urvisha,0
Urvush,1
Sweta,0
Natasha,0
Heetu,1
Tanvi,0
Naina,0
Dhaval,1
Vishruti,0
Nadiya,0
Astha,0
Chaya,0
Sakila,0
Radha,0
Neha,0
Mira,0
Swti,0
Dhvani,0
Minal,0
Kashvi,0
Maya,0
Kaliksha,0
Ishani,0
Monik,1
Twinkal,0
Shruja,0
Rupa,0
Tarang,1
Nikhil,1
Daxit,1
Army,1
Surbhi,0
Hetul,1
Shreena,0
Palav,0
Shyam,1
Divyesh,1
Gopi,0
Hardi,0
Bhakti,0
Man,1
Metri,0
Alka,0
Juneb,0
Romil,1
Ankit,1
Anandi,0
Vrutika,0
Dhrumin,1
Muskan,0
Rikesh,1
Yagnik,1
Yuvi,0
Yuvaraj,1
Manav,1
Grishma,0
Brinda,0
Jaydeep,1
Yug,1
Pari,0
Keyur,1
Akash,1
Vidhi,0
Vidhisha,0
Jimy,0
Bhadresh,1
Amiras,1
Zenil,1
Kanchan,0
Sapana,0
Feni,0
Rajshree,0
Swarupa,0
Dipsa,0
Cherish,1
Rita,0
Vaishali,0
Himanshi,0
Harihar,1
Ruchit,1
Noor,0
Anmol,1
Gaytri,0
Shrushti,0
Akshar,1
Shivanya,0
Unique,1
Rujal,0
Gulista,0
Raghav,1
Goral,0
Jayraj,1
Prashant,1
Sanskar,1
Femina,0
Shayra,0
Sandy,0
Vrushal,1
Bhavin,1
Kamlesh,1
Kinal,0
Avira,0
Karan,1
Jogsingh,1
Rinku,0
Nirmla,0
Kuldeep,1
Sapan,1
Bhaudeep,1
Zarana,0
Reema,0
Mayur,1
Danika,0
Sillam,0
Varun,1
Harshid,1
Risha,0
Banasri,0
Fiona,0
Chitranjali,0
Kriyesha,0
Dravya,0
Nagma,0
Upena,0
Varni,1
kruti,0
Diaa,0
Vandan,1
Karishma,0
Sunny,1
Siyaahi,0
Manpreet,1
Hiari,0
Binjal,0
Yami,0
Sindu,1
Binny,0
Srisa,0
Ritika,0
Niyati,0
Barkha,0
Chitra,0
Meghana,0
Mishti,0
Vrushali,0
Rushali,0
Itee,0
Hiti,0
Brinza,0
Nisha,0
Mrunal,1
Zeeya,0
Misri,0
Zeenat,0
Darpan,1
koral,0
Ankush,1
Chakshu,0
Tasarika,0
Taanishka,0
kumud,0
Trisha,0
Margi,0
Charu,0
Charan,1
Manas,1
Kesha,0
Diyara,0
Kirthi,0
Arman,1
Masumi,0
Purvam,1
Naresh,1
Radhey,1
Shreyon,1
Vinay,1
Vineet,1
Garima,0
Vimal,1
Shivaagna,0
Tejaswini,0
Lavnya,0
Pal,0
Tyani,0
Sanchet,1
Aftab,1
Zarin,0
Biren,1
Vicky,1
Karishmaashita,0
Miloni,0
Aruni,0
Pranali,0
Monali,0
Yogi,1
Sonam,0
Akhtar,1
Prapti,0
Bhoomik,1
Nirav,1
Chirag,1
Kundan,1
Aditi,0
Ajay,1
Yusuf,1
Irfan,1
Yogesh,1
Yashraj,1
Arisfa,0
Yagnesh,1
Diva,0
Haresh,1
Nadim,1
Imran,1
Venish,1
Salim,1
Vraj,1
Shaikh,1
Vithal,1
Vishrut,1
Vishal,1
Krushang,1
Vrushang,1
Viral,1
Shrishti,0
Bharti,0
Chitra,0
Lalita,0
Vanita,0
Rajni,0
Dolly,0
Poonam,0
Dimpal,0
Veera,0
Ankita,0
Masum,0
Jeenat,0
Soniya,0
Namrta,0
Ridhima,0
Smita,0
Parwati,0
Prema,0
Nandini,0
Kanta,0
Vinu,1
Rizwan,1
Vashant,1
Vanshika,0
Vallabh,1
Swastik,1
Shraddha,0
Pragati,0
Bhavana,0
Valaji,1
Sagar,1
Nirbhay,1
Greengal,0
Vakil,1
Tulsi,0
Upendra,1
Neela,0
Umesh,1
Umang,1
Uka,1
Samita,0
Tushar,1
Ishavar,1
Isavar,1
Krish,1
Krisha,0
Piyush,1
Piyushi,0
Tirth,1
Tosif,1
Tikmlal,1
Thakarshi,1
Shaurya,1
Sanadhya,0
Prahlad,1
Saurabha,1
Swetang,1
Kanika,0
Susil,1
Shakti,1
Sudhir,1
Namita,0
Rajan,1
Sonanshu,1
Raj,1
Savaji,1
Vaibhav,1
Paresh,1
Mithil,1
Mehul,1
Madhvi,0
Kalpesh,1
Pakhi,0
Jagdish,1
Gopal,1
Dayalal,1
Bhimji,1
Bhavik,1
Aravid,1
Sima,0
Shusila,1
Shahid,1
Savan,1
Saumil,1
Sarang,1
Sandip,1
Sanat,1
Samir,1
Jigna,0
Rushik,1
Rinkesh,1
Mahesh,1
Pragti,0
Amit,1
Ranchod,1
Ranjan,1
Randip,1
Ramlal,1
Jenil,1
Puna,1
Prabhu,1
Pragat,1
Prachi,0
Praful ,1
Popatlal,1
Pinkesh,1
Abdul,1
Odha,1
Jenish,1
Nitesh,1
Nita,0
Niroj,1
Nimesh,1
Nilkanth,1
Nikunj,1
Nihal,1
Nihar,1
Neelay,1
Nemish,1
Neel,1
Indra,0
Manju,0
Parul,0
Tara,0
Krishka,0
Ilema,0
Sahiba,0
Chandni,0
Bimla,0
Maya,0
Sarita,0
Sukhbir,0
Saveta,0
Rani,0
Kafia,0
Minakshi,0
Shabana,0
Kinya,0
Mumtaz,0
Mohini,0
Rupa,0
Saroj,0
Pushpa,0
Imarana,0
Kripya,0
Chanchal,0
Madhu,0
Dhamishta,0
Sonali,0
Padma,0
Jaya,0
Sumitra,0
Nathu,1
Narsi,1
Narayan,1
Nanji,1
Nagji,1
Murili,1
Bipin,1
Ramji,1
Miraj,1
Mavji,1
Manu,1
Mansukh,1
Manji,1
Manhar,1
Bhavin,1
Lavaji,1
Shubhas,1
Labhu,1
Kishor,1
Kishan,1
Kinjal,0
Khushali,0
Ashok,1
Bhikha,1
Kevin,1
Keyur,1
Ketan,1
Hasmukh,1
Kailash,0
Kavita,0
karsan,1
Sanjay,1
Karan,1
Kapli,1
Kamal,1
Kalpana,0
Jivraj,1
Jivan,1
Jitu,1
Jigar,1
Nayan,1
Jasvant,1
Vandna,0
Kiran,0
Gauri,0
Arti,0
Neetu,0
Nurbi,0
Hemlata,0
Hemal,0
Aditya,0
Janu,0
Kajol,0
Parvti,0
Rajeshwari,0
Shaifali,0
Tanya,0
Nilam,0
Hetavi,0
Bhavdeep,0
Diana,0
Sonam,0
Sukhmani,0
Kiaraa,0
Alia,0
Satpal,1
Ram,1
Parash,1
Mustaq,1
Bilal,1
Jitendra,1
Inder,1
Shakib,1
Divaraj,1
Abhinav,1
Vrajana,0
Harshita,0
Medha,0
Bushraa,0
Evaa,0
Azruddin,1
Mushir,1
Avneet,0
Chitranshi,0
Govindh,1
Govind,1
Vasundhara,0
Sakshi,0
Ashi,0
Anushka,0
Moni,0
Avatar,1
Gaffar,1
Deepak,1
Lalit,1
Brij,1
Subhash,1
Nishant,1
Shekhar,1
Hardeep,1
Twarita,0
Samreen,0
Aayushi,0
Neha,0
Diksha,0
Veerji,0
Esha,0
Kiara,0
Sonal,0
Mahira,0
Sonalika,0
Ragini,0
Roopa,0
Anup,1
Aamir,1
Aasif,1
Abir,1
Ali,1
Anas,1
Juhi,0
Smriti,0
Mouli,0
Urvshi,0
Jennifer,0
Shilpa,0
Aamna,0
Anang,1
Apurva,1
Arhaan,1
Arijit,1
Arjit,1
Arjun,1
Arpit,1
Barun,1
Deven,1
Rashami,0
Sara,0
Sukirti,0
Madhurima,0
Sanaya,0
Sriti,0
Hina,0
Hiba,0
Avika,0
Mahima,0
Runina,0
Mugdha,0
Dilip,1
Gautam,1
Gaurav,1
Gurmeet,1
Harsh,1
Harshad,1
Hiten,1
Himanshu,1
Jimit,1
Karmveer,1
Karanvir,1
Kinshuk,1
Sharda,0
Kunal,1
Giaa,0
Adaa,0
Pratyusha,0
Rucha,0
Yukti,0
Nia,0
Surbhi,0
Gulki,0
Shrenu,0
Amrapali,0
Toral,0
Preetika,0
Laksh,1
lavanya,1
Leenesh,1
Radhika,0
Samiksha,0
Sheen,0
Erica,0
Ashi,0
Rhea,0
Manav,1
Mamik,1
Mishal,1
Iqbal,1
Nazim,1
Malik,1
Nakuul,1
Namik,1
Namit,1
Rishikaa,0
Mayuri,0
Nikki,0
Param,1
Paras,1
Puneet,1
Rahil,1
Rajat,1
Rajeev,1
Randeep,1
Ronit,1
Mehtab,0
Bibbo,0
Devika,0
Shobhna,0
jamuna,0
Sitara,0
Shanta,0
Sadhana,0
Nalini,0
Meena,0
Swaran,0
Suraiya,0
Asha,0
Noor,0
Sehban,1
Siddhant,1
Shah Rukh,1
Shantanu,1
Shivaji,1
Sumedh,1
Varun,1
Madhubala,0
Uma,0
Kamini,0
Nimmi,0
Shakila,0
Shammi,0
Bhanumati,0
Nirupa,0
Nutan,0
Bina,0
Nadira,0
Vivian,1
Zain,1
Sushant,1
Tiger,1
Vir,1
Hrithik,1
Shahid,1
Ranveer,1
Taaha,1
Ameeta,0
Shyama,0
Suchitra,0
Minoo,0
Mala,0
Padmini,0
Helen,0
Nanda,0
Saira,0
Jayanthi,0
Farhan,1
Purab,1
Harshvardhan,1
Ayushman,1
Fawad,1
Bobby,1
Gulshan,1
Himeshreshammiya,1
Ieshaan,1
Jackky,1
Hema,0
Raakhee,0
Yogeeta,0
Reena,0
Vidya,0
Ranjeeta,0
Deepti,0
Sridevi,0
Vijayta,0
Rati,0
Salma,0
Meenakshi,0
Neelam,0
Urmila,0
Kartik,1
Mahakshay,1
Omi,1
Neil nitin,1
Priyadarshan,1
Pulkit,1
Rajkummar,1
Ritesh,1
Saif ali khan,1
Sammir,1
Shiney,1
Sooraj,1
Suniel,1
Bipasha,0
Isha,0
Keerthi,0
Sandali,0
Monica,0
Tanishaa,0
Meher,0
Manjari,0
Dakshita,0
Eshan,1
Meenu,0
Jyostna,0
Tamannaah,0
Amol,1
Sumeet,1
Ishwak,1
Aahana,0
Yashaswini,0
Aisha,0
Maanvi,0
Hansika,0
Richa,0
Sandeepa,0
Parineeti,0
Huma,0
Iieana,0
Amy,0
Taapsee,0
Lisa,0
Athiya,0
Mawara,0
Ritika,0
Janhvi,0
Tripti,0
Tara,0
Mrunal,0
Alaya,0
Tejashri,0
Arina,0
Rajsi,0
Anil,1
Angira,0
Bhuvan,1
Chinmay,1
Visshesh,1
Deepesh,1
Nimrat,0
Kishwer,0
Vrushika,0
Mallika,0
Sudev,1
Gagandev�,1
Mithila,0
Tahir,1
Alekh,1
Raghu,1
Raunak,1
Nidhi,0
Tridha,0
Nehal,0
Jinnie,0
Shiny,0
Supriya,0
Iira,0
Manvi,0
Sanni,0
Hansi,0
priyal,0
Marina,0
Veronica,0
Tanima,0
Gehana,0
Neethu,0
Nagma,0
Flora,0
Aarohi,0
Kavya,0
Anusmriti,0
Mahi,0
Aastha,0
Prerika,0
Pihu,0
Prerna,0
Raja,1
Lokesh,1
Chand,1
Baljeet,1
Dheeraj,1
Chandan,1
Laxman,1
Jaidev,1
Tarun,1
Radhey,1
Pradeep,1
Nitish,1
Aftab,1
Vikramjeet,1
Meena,0
Ganga,0
Madhuri,0
Harprit,0
Rubina,0
Kamla,0
Muhammad,1
Ahmed,1
Ahmad,1
Ali,1
Omar,1
Yusuf,1
Hassan,1
Ibrahim,1
Ayaan,1
Zayn,1
Rayyan,1
Hamza,1
Khalid,1
Adam,1
Abdullah,1
Yahya,1
Bilal,1
Idris,1
Ismail,1
Faisal,1
Karim,1
Nabil,1
Mustafa,1
Anwar,1
Amin,1
Faris,1
Saif,1
Arif,1
Tariq,1
Raheem,1
Zain,1
Sami,1
Hadi,1
Yasin,1
Nasser,1
Asad,1
Rafiq,1
Aziz,1
Rashid,1
Kamran,1
Malik,1
Majid,1
Dawood,1
Naeem,1
Arman,1
Kareem,1
Rizwan,1
Yusri,1
Qasim,1
Saeed,1
Aariz,1
Wahid,1
Junaid,1
Shafi,1
Saleem,1
Ghazi,1
Zaki,1
Azhar,1
Khalil,1
Usman,1
Zahir,1
Amir,1
Javid,1
Haroon,1
Ahsan,1
Tahir,1
Zulfiqar,1
Iqbal,1
Farhan,1
Imran,1
Fahad,1
Rashad,1
Haider,1
Nadeem,1
Fawad,1
Yousuf,1
Sabir,1
Zafar,1
Talha,0
Sohail,1
Khurram,1
Adnan,1
Zia,1
Aamir,1
Waqar,1
Jafar,1
Arshad,1
Qadir,1
Ishaq,1
Nasir,1
Azam,1
Asif,1
Noman,1
Sarwar,1
Naveed,1
Aftab,1
Imtiaz,1
Aslam,1
Aleem,1
Tauseef,1
Irfan,1
Rehan,1
Shakil,1
Adil,1
Israr,1
Shakeel,1
Zeeshan,1
Zulqarnain,1
Azeem,1
Taimur,1
Zainullah,1
Nadir,1
Ashraf,1
Shoaib,1
Arslan,1
Wasim,1
Daniyal,1
Asadullah,1
Mansoor,1
Shahzad,1
Shazad,1
Niaz,1
Faizan,1
Hanif,1
Hameed,1
Riaz,1
Ejaz,1
Umar,1
Tanveer,1
Qamar,0
Maqbool,1
Feroz,1
Ziauddin,1
Muzaffar,1
Aqeel,1
Usama,1
Zahid,1
Fazal,1
Mushtaq,1
Yousaf,1
Musa,1
Sajid,1
Zahoor,1
Ijaz,1
Fakhir,1
Shahid,1
Hafeez,1
Mujahid,1
Rameez,1
Qaiser,1
Sajjad,1
Taufeeq,1
Ilyas,1
Farooq,1
Salman,1
Nasrullah,1
Javed,1
Shams,1
Zaheer,1
Waqas,1
Sadiq,1
Talib,1
Irshad,1
Ehsan,1
Akhtar,1
Maaz,1
Mohsin,1
Hayat,1
Asghar,1
Faheem,1
Kaleem,1
Zameer,1
Kashif,1
Mohiuddin,1
Faiz,1
Fazil,1
Akram,1
Aasim,1
Jameel,1
Fazlur,1
Haq,1
Qayyum,1
Farhat,0
Habib,1
Rauf,1
Nisar,1
Anis,1
Nabeel,1
Qadeer,1
Taj,1
Nasr,1
Saad,1
Shaukat,1
Mazhar,1
Ghulam,1
Hamid,1
Raza,0
Mumtaz,1
Tanvir,1
Abdul,1
Saleh,1
Ishtiaq,1
Qazi,1
Nasim,1
Shabbir,1
Haris,1
Asim,1
Munir,1
Waseem,1
Moin,1
Yasir,1
Zubair,0
Talat,1
Munawar,1
Jamil,1
Amjad,1
Gulzar,1
Wajid,1
Ghulam-mohi-ud-din,1
Aaliyah,0
Aisha,0
Aleena,0
Amina,0
Amira,0
Anaya,0
Ayesha,0
Aysha,0
Batool,0
Bushra,0
Dua,0
Eman,0
Fareeha,0
Farida,0
Fatima,0
Fiza,0
Ghazala,0
Hafsa,0
Hajra,0
Halima,0
Hana,0
Hanan,0
Hasna,0
Hoorain,0
Humaira,0
Iqra,0
Jamilah,0
Jasmine,0
Kainat,0
Kalsoom,0
Kareema,0
Khadija,0
Khawla,0
Laila,0
Leena,0
Lubna,0
Madiha,0
Mahira,0
Mariam,0
Maryam,0
Maya,0
Mehak,0
Mehwish,0
Mina,0
Nadia,0
Naima,0
Nasira,0
Nida,0
Nisa,0
Noor,0
Nyla,0
Rabia,0
Rafia,0
Rukhsar,0
Saba,0
Sadaf,0
Safia,0
Saima,0
Saira,0
Sakina,0
Samina,0
Sana,0
Sara,0
Sarah,0
Sarina,0
Shabnam,0
Shazia,0
Sobia,0
Sofia,0
Sumaya,0
Sumera,0
Tahira,0
Tasneem,0
Umaima,0
Yasmeen,0
Yusra,0
Zahra,0
Zainab,0
Zara,0
Zoya,0
Aafreen,0
Aaliya,0
Aamirah,0
Aanisah,0
Aarifa,0
Aasiyah,0
Abeer,0
Abida,0
Abir,0
Adila,0
Adina,0
Afia,0
Afifa,0
Afrah,0
Afsana,0
Afshan,0
Ahlam,0
Aida,0
Akifah,0
Alia,0
Alina,0
Aliyah,0
Almas,0
Amal,0
Amara,0
Ambreen,0
Ameena,0
Ameerah,0
Amirah,0
Amna,0
Anabia,0
Anam,0
Anika,0
Anisa,0
Anisha,0
Anita,0
Anum,0
Aqsa,0
Areeba,0
Arisha,0
Arzoo,0
Asifa,0
Asiyah,0
Asma,0
Asra,0
Atifa,0
Azra,0
Badia,0
Bahar,0
Bakhtawar,0
Balqis,0
Banu,0
Bilqis,0
Bisma,0
Dania,0
Deeba,0
Dilsha,0
Eiliyah,0
Elina,0
Eshaal,0
Faiza,0
Fareeda,0
Farhana,0
Farheen,0
Fariha,0
Fatimah,0
Fawzia,0
Fayza,0
Firdaus,0
Fouzia,0
Gauhar,0
Gulnaz,0
Habiba,0
Hadiya,0
Hafeezah,0
Haimi,0
Hajira,0
Hamida,0
Hanifa,0
Haniya,0
Harisah,0
Hawwa,0
Hayam,0
Hazina,0
Hessa,0
Hibah,0
Hooriya,0
Humayra,0
Hurmat,0
Iffat,0
Ijlal,0
Ikram,0
Ilham,0
Iman,0
Inaam,0
Inaya,0
Iram,0
Irfana,0
Ishrat,0
Jabeen,0
Jameela,0
Jamila,0
Jaweria,0
Jawwariyah,0
Jumana,0
Kabira,0
Kainaat,0
Kaneez,0
Kareemah,0
Kausar,0
Khadijah,0
Khairun,0
Khairunnisa,0
Khansa,0
Khatoon,0
Khubaib,0
Kinza,0
Kiran,0
Kulsoom,0
Laiba,0
Lamia,0
Latifa,0
Lina,0
Lubabah,0
Lubaina,0
Lubaynah,0
Lujain,0
Lujayn,0
Lutfiya,0
Maariya,0
Maha,0
Maham,0
Mahasin,0
Mahdiya,0
Mahirah,0
Mahjabeen,0
Mahnoor,0
Maira,0
Maisarah,0
Malaika,0
Malak,0
Maleeha,0
Maliha,0
Malika,0
Maram,0
Mariyah,0
Marwa,0
Maryum,0
Minaal,0
Mira,0
Misbah,0
Mishal,0
Mubarakah,0
Mubarika,0
Mumina,0
Munira,0
Munisa,0
Muniza,0
Musfirah,0
Muskan,0
Nabeela,0
Nabilah,0
Nada,0
Nadira,0
Nafisa,0
Nageen,0
Naimah,0
Naira,0
Najah,0
Najat,0
Najeeba,0
Najma,0
Nargis,0
Nashitah,0
Nasiha,0
Nasima,0
Nasreen,0
Nayab,0
Nazia,0
Neha,0
Nigar,0
Nihad,0
Nimra,0
Nisreen,0
Nisrin,0
Nudrat,0
Numa,0
Nusrat,0
Qudsia,0
Rabiya,0
Radeyah,0
Rafat,0
Rahat,0
Raiqa,0
Raisa,0
Raja,0
Rakhshanda,0
Ramsha,0
Rania,0
Reem,0
Rehana,0
Reshma,0
Rida,0
Riffat,0
Rihab,0
Rima,0
Rizwana,0
Rubina,0
Rukhsana,0
Ruqayyah,0
Sabah,0
Sabiha,0
Sadaqat,0
Sadia,0
Sadiya,0
Safiya,0
Sahar,0
Saimah,0
Sakeena,0
Salamat,0
Salima,0
Samah,0
Samia,0
Samiya,0
Samreen,0
Samya,0
Sanam,0
Sanaullah,0
Sania,0
Sanobar,0
Sayeda,0
Seema,0
Shabana,0
Shagufta,0
Shahida,0
Shahira,0
Shahla,0
Shahnaz,0
Shahrazad,0
Shaima,0
Shama,0
Shazina,0
Shireen,0
Shirin,0
Shumaila,0
Shyrose,0
Sidra,0
Soha,0
Sohaila,0
Suhayla,0
Suhaymah,0
Sumayya,0
Suraiya,0
Tabassum,0
Tahmeedah,0
Tania,0
Tasleem,0
Tasnim,0
Tayyaba,0
Umama,0
Umme-Hani,0
Uroosa,0
Usma,0
Usra,0
Wafa,0
Wahida,0
Wajeeha,0
Wardah,0
Yamama,0
Yara,0
Yasirah,0
Yumna,0
Zaara,0
Zahida,0
Zahira,0
Zeenat,0
Zubaida,0
Zuhra,0
Zulaikha,0
Zulekha,0
Jasmin,0
Rubaisha,0
Zoha,0
Ramza,0
Aliza,0
Shina,0
Sunaina,0
Saiqa,0
Rameen,0
Zoha,0
Haseeb,1
Muwahid,1
Moiz,1
Shahbaz,1
Shehryar,1
Arslan,1
Abdulbari,1
Muqeet,1
Mushtaq,1
Jahangir,1
Ubaid,1
Aliyan,1
Aaban,1
Aabha,0
Aabid,1
Aabriella,0
Aada,0
Aadam,1
Aadan,1
Aadarsh,1
Aaden,1
Aadesh,1
Aadhav,1
Aadhavan,1
Aadhi,1
Aadhira,0
Aadhvik,1
Aadhya,0
Aadhyan,1
Aadi,1
Aadian,1
Aadil,1
Aadin,1
Aadish,1
Aadison,0
Aadit,1
Aadith,1
Aadithya,1
Aaditri,0
Aaditya,1
Aadiv,1
Aadon,1
Aadrian,1
Aadrika,0
Aadrit,1
Aadvik,1
Aadvika,0
Aadya,0
Aadyn,1
Aafia,0
